time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-03-12T22:10:18.040Z,39,142.534,55.7,4.5,mb,47,134.8,,0.79,us,usp000hwmm,2014-11-07T01:44:03.604Z,"near the east coast of Honshu, Japan",earthquake,,6.6,,11,reviewed,us,us
2011-03-12T22:08:59.730Z,38.211,143.514,35,4,mb,10,157.2,,0.92,us,usp000hwmk,2014-11-07T01:44:03.602Z,"off the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T22:05:15.840Z,37.65,143.877,23.5,4.8,mb,102,46.9,,1.03,us,usp000hwmj,2014-11-07T01:44:03.594Z,"off the east coast of Honshu, Japan",earthquake,,4.2,,48,reviewed,us,us
2011-03-12T22:01:10.350Z,37.1,143.406,35,4.5,mb,37,113.8,,1,us,usp000hwmh,2014-11-07T01:44:03.591Z,"off the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T21:58:18.870Z,39.03,142.31,44.9,5.4,mwc,327,69.2,,0.77,us,usp000hwmf,2014-11-07T01:44:03.551Z,"near the east coast of Honshu, Japan",earthquake,,3.9,,,reviewed,us,gcmt
2011-03-12T21:56:35.330Z,37.277,144.089,17.9,4.3,mb,50,119.9,,0.74,us,usp000hwme,2014-11-07T01:44:03.546Z,"off the east coast of Honshu, Japan",earthquake,,19.9,,13,reviewed,us,us
2011-03-12T21:54:57.180Z,37.781,143.634,35,4.2,mb,16,141.1,,0.7,us,usp000hwmd,2014-11-07T01:44:03.545Z,"off the east coast of Honshu, Japan",earthquake,,,,7,reviewed,us,us
2011-03-12T21:48:09.620Z,39.612,142.569,26.4,5.4,mwc,281,50.9,,0.98,us,usp000hwmc,2014-11-07T01:44:03.516Z,"near the east coast of Honshu, Japan",earthquake,,9.6,,,reviewed,us,gcmt
2011-03-12T21:40:58.930Z,37.098,143.325,36.3,4.9,mwc,251,76.9,,0.86,us,usp000hwmb,2014-11-07T01:44:03.497Z,"off the east coast of Honshu, Japan",earthquake,,4.8,,,reviewed,us,gcmt
2011-03-12T21:38:35.680Z,37.861,144.234,35,5,mwc,193,74.3,,0.86,us,usp000hwma,2014-11-07T01:44:03.483Z,"off the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,gcmt
2011-03-12T21:34:19.960Z,39.743,143.441,56.4,4.1,mb,31,126.3,,1.11,us,usp000hwm9,2014-11-07T01:44:03.480Z,"off the east coast of Honshu, Japan",earthquake,,12.2,,12,reviewed,us,us
2011-03-12T21:24:34.590Z,35.139,141.357,41.1,4.7,mb,44,112.7,,0.77,us,usp000hwm6,2014-11-07T01:44:03.474Z,"near the east coast of Honshu, Japan",earthquake,,6,,12,reviewed,us,us
2011-03-12T21:21:50.090Z,36.285,142.344,13.7,4.4,mb,31,127.2,,0.77,us,usp000hwm5,2014-11-07T01:44:03.472Z,"off the east coast of Honshu, Japan",earthquake,,23,,4,reviewed,us,us
2011-03-12T21:21:09.110Z,37.768,143.568,26.4,4.2,mb,35,135.7,,0.79,us,usp000hwm4,2014-11-07T01:44:03.469Z,"off the east coast of Honshu, Japan",earthquake,,16.8,,6,reviewed,us,us
